cell_index,x_mean,y_mean,w_mean,h_mean
0,92.28571428571429,59.5,350.92857142857144,117.78571428571429
1,475.9047619047619,59.38095238095238,348.8809523809524,118.02380952380952
2,832.1904761904761,59.04761904761905,351.2142857142857,118.54761904761905
3,1191.2380952380952,58.45238095238095,352.54761904761904,118.9047619047619
4,1552.5,57.61904761904762,351.5,118.83333333333333
5,1529.9761904761904,80.88095238095238,341.9761904761905,119.0
6,188.23809523809524,185.6904761904762,349.9047619047619,116.85714285714286
7,562.547619047619,185.83333333333334,349.5238095238095,117.04761904761905
8,928.2142857142857,185.8095238095238,351.5,117.4047619047619
9,1287.5238095238096,185.5952380952381,352.45238095238096,117.76190476190476
10,1571.6190476190477,190.95238095238096,349.2142857142857,118.02380952380952
11,1223.3333333333333,232.54761904761904,344.4761904761905,117.9047619047619
12,282.7142857142857,311.07142857142856,350.0238095238095,117.11904761904762
13,683.3333333333334,311.57142857142856,349.8095238095238,117.07142857142857
14,955.2857142857143,317.6190476190476,352.1904761904762,117.0
15,1315.0,317.7142857142857,352.7857142857143,117.26190476190476
16,1443.8536585365853,332.8780487804878,349.5365853658537,116.02439024390245
17,1084.025,377.0,346.725,111.5
18,505.86486486486484,437.1081081081081,350.7027027027027,105.10810810810811
19,871.3235294117648,437.52941176470586,351.20588235294116,104.97058823529412
20,1236.0625,437.875,351.9375,105.375
21,1520.7307692307693,437.96153846153845,350.1923076923077,105.76923076923077
22,1748.0666666666666,438.0,347.0,106.2
23,1872.0,439.0,340.0,106.0
